sample_id,video_path,filename,dataset,directory_class,semantic_class,visual_label,audio_label,final_label,identity,race_group,gender_group,content_id,linked_identities,method_hint
fac_0fbc8636c859,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.mp4,00109.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00076,African,men,00109,,unknown
fac_4eb61ca9a288,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00166/00010.mp4,00010.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00166,African,men,00010,,unknown
fac_13c3e7d6e167,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118.mp4,00118.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00173,African,men,00118,,unknown
fac_e2dbbb7c88ff,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118.mp4,00118.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00366,African,men,00118,,unknown
fac_5267de303384,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00391/00052.mp4,00052.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00391,African,men,00052,,unknown
fac_a4a09a829eae,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099.mp4,00099.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00475,African,men,00099,,unknown
fac_e4a030d032d5,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109.mp4,00109.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00476,African,men,00109,,unknown
fac_df234b76cea3,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206.mp4,00206.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00478,African,men,00206,,unknown
fac_2a443edaf692,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031.mp4,00031.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00518,African,men,00031,,unknown
fac_5c9fc4fee494,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00701/00092.mp4,00092.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00701,African,men,00092,,unknown
fac_d13fe5b6d131,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00761/00072.mp4,00072.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00761,African,men,00072,,unknown
fac_ebdf9741cdbf,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00781/00092.mp4,00092.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00781,African,men,00092,,unknown
fac_fe32d7a7b48e,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00830/00143.mp4,00143.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00830,African,men,00143,,unknown
fac_43c4ecbd4915,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00944/00135.mp4,00135.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00944,African,men,00135,,unknown
fac_cf176fd4e500,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00987/00160.mp4,00160.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00987,African,men,00160,,unknown
fac_3f3a932fea8b,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01036/00010.mp4,00010.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id01036,African,men,00010,,unknown
