sample_id,video_path,filename,dataset,directory_class,semantic_class,visual_label,audio_label,final_label,identity,race_group,gender_group,content_id,linked_identities,method_hint,component_id,split
fac_eacf4961a68d,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id00043/00135.mp4,00135.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00043,Asian (South),women,135,,unknown,4,calibration
fac_ca4d3bc10a2d,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id00080/00281.mp4,00281.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00080,Asian (South),women,281,,unknown,4,calibration
fac_656aaa2413db,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id00149/00284.mp4,00284.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00149,Asian (South),women,284,,unknown,4,calibration
fac_d0e4f8a19220,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id00235/00052.mp4,00052.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00235,Asian (South),women,52,,unknown,4,calibration
fac_7efa3fd1af45,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id00417/00069.mp4,00069.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00417,Asian (South),women,69,,unknown,4,calibration
fac_1f0825e9d8bb,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id00461/00043.mp4,00043.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00461,Asian (South),women,43,,unknown,4,calibration
fac_c71295aa30a6,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id00488/00028.mp4,00028.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00488,Asian (South),women,28,,unknown,4,calibration
fac_130fab8b04f6,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id00739/00005.mp4,00005.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00739,Asian (South),women,5,,unknown,4,calibration
fac_0e5f972f32d6,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id00747/00053.mp4,00053.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id00747,Asian (South),women,53,,unknown,4,calibration
fac_aa8f2901124f,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id01026/00083.mp4,00083.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id01026,Asian (South),women,83,,unknown,4,calibration
fac_2746a474a01b,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id02089/00092.mp4,00092.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id02089,Asian (South),women,92,,unknown,4,calibration
fac_25ace5ed7fee,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id02310/00139.mp4,00139.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id02310,Asian (South),women,139,,unknown,4,calibration
fac_5057b8c454f4,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id02619/00015.mp4,00015.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id02619,Asian (South),women,15,,unknown,4,calibration
fac_5815e695eee1,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id03559/00023.mp4,00023.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id03559,Asian (South),women,23,,unknown,4,calibration
fac_4c0b2b4d279c,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id03815/00118.mp4,00118.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id03815,Asian (South),women,118,,unknown,4,calibration
fac_1bec83edfc4c,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id03897/00021.mp4,00021.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id03897,Asian (South),women,21,,unknown,4,calibration
fac_90ae97e72c70,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id03985/00005.mp4,00005.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id03985,Asian (South),women,5,,unknown,4,calibration
fac_f21f4e982e2f,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id04070/00072.mp4,00072.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id04070,Asian (South),women,72,,unknown,4,calibration
fac_9b59ff7f40f1,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id04490/00054.mp4,00054.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id04490,Asian (South),women,54,,unknown,4,calibration
fac_8a390984ea1c,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id04529/00186.mp4,00186.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id04529,Asian (South),women,186,,unknown,4,calibration
fac_436cf1018f4d,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id04530/00231.mp4,00231.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id04530,Asian (South),women,231,,unknown,4,calibration
fac_bec57bda4794,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id04564/00417.mp4,00417.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id04564,Asian (South),women,417,,unknown,4,calibration
fac_81e49a7ee12f,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id04582/00180.mp4,00180.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id04582,Asian (South),women,180,,unknown,4,calibration
fac_4ccad0fb70ac,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id04583/00077.mp4,00077.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id04583,Asian (South),women,77,,unknown,4,calibration
fac_22dd6a98a8cb,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id04927/00013.mp4,00013.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id04927,Asian (South),women,13,,unknown,4,calibration
fac_9b1b54c7c92e,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id05434/00052.mp4,00052.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id05434,Asian (South),women,52,,unknown,4,calibration
fac_77933d7e6c8f,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id05435/00107.mp4,00107.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id05435,Asian (South),women,107,,unknown,4,calibration
fac_af7ddcdc0f4f,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id05478/00135.mp4,00135.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id05478,Asian (South),women,135,,unknown,4,calibration
fac_60971609d2bf,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id05845/00027.mp4,00027.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id05845,Asian (South),women,27,,unknown,4,calibration
fac_3bae6643dd4d,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id05920/00161.mp4,00161.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id05920,Asian (South),women,161,,unknown,4,calibration
fac_cbb770cd09f3,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id05931/00013.mp4,00013.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id05931,Asian (South),women,13,,unknown,4,calibration
fac_2998074c02dc,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06232/00025.mp4,00025.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06232,Asian (South),women,25,,unknown,4,calibration
fac_1d5e50f75209,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06254/00043.mp4,00043.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06254,Asian (South),women,43,,unknown,4,calibration
fac_7e43fb8300ad,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06268/00159.mp4,00159.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06268,Asian (South),women,159,,unknown,4,calibration
fac_58f00ecdb2fc,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06343/00023.mp4,00023.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06343,Asian (South),women,23,,unknown,4,calibration
fac_47d6dca67e08,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06428/00043.mp4,00043.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06428,Asian (South),women,43,,unknown,4,calibration
fac_c65dd950ebd4,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06437/00028.mp4,00028.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06437,Asian (South),women,28,,unknown,4,calibration
fac_5b8857741e86,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06438/00110.mp4,00110.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06438,Asian (South),women,110,,unknown,4,calibration
fac_c769a979a454,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06439/00118.mp4,00118.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06439,Asian (South),women,118,,unknown,4,calibration
fac_a387815879bb,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06445/00150.mp4,00150.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06445,Asian (South),women,150,,unknown,4,calibration
fac_4932b8a97a9c,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id06752/00221.mp4,00221.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id06752,Asian (South),women,221,,unknown,4,calibration
fac_cb56f9fd408a,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07008/00175.mp4,00175.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id07008,Asian (South),women,175,,unknown,4,calibration
fac_b550d23cc8e1,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07049/00043.mp4,00043.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id07049,Asian (South),women,43,,unknown,4,calibration
fac_440feb6f025b,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07051/00083.mp4,00083.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id07051,Asian (South),women,83,,unknown,4,calibration
fac_b9289fbfa10f,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07078/00405.mp4,00405.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id07078,Asian (South),women,405,,unknown,4,calibration
fac_64cc11f53919,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07136/00052.mp4,00052.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id07136,Asian (South),women,52,,unknown,4,calibration
fac_b10500ebf662,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07236/00143.mp4,00143.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id07236,Asian (South),women,143,,unknown,4,calibration
fac_72fd325b912a,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07377/00025.mp4,00025.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id07377,Asian (South),women,25,,unknown,4,calibration
fac_9622bcc0f94e,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07686/00254.mp4,00254.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id07686,Asian (South),women,254,,unknown,4,calibration
fac_1b1b5f15b6d9,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/RealVideo-RealAudio/Asian (South)/women/id07689/00028.mp4,00028.mp4,FakeAVCeleb,RealVideo-RealAudio,REAL,0,0,0,id07689,Asian (South),women,28,,unknown,4,calibration
fac_9069f0d83600,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id00417_GhIZam3v09g.mp4,00135_id00417_GhIZam3v09g.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id00417,unknown,4,calibration
fac_4622c636a076,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id00417_GhIZam3v09g_faceswap.mp4,00135_id00417_GhIZam3v09g_faceswap.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id00417,faceswap,4,calibration
fac_6b5ba4b90325,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id01026_rM4ZERt7oM0.mp4,00135_id01026_rM4ZERt7oM0.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id01026,unknown,4,calibration
fac_f6097624e0f2,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id01026_wavtolip.mp4,00135_id01026_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id01026,wav2lip,4,calibration
fac_83373abe1955,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id02619_6AKIR2gTCNU.mp4,00135_id02619_6AKIR2gTCNU.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id02619,unknown,4,calibration
fac_cb68d161a8a6,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id03815_hw41YlLps4w.mp4,00135_id03815_hw41YlLps4w.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id03815,unknown,4,calibration
fac_eb3fe540be83,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id04529_S92uo-UShxE.mp4,00135_id04529_S92uo-UShxE.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id04529,unknown,4,calibration
fac_fe5201fc220a,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id04530_W5-PTTL9HzU.mp4,00135_id04530_W5-PTTL9HzU.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id04530,unknown,4,calibration
fac_869adfbc0bd0,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id04564_wavtolip.mp4,00135_id04564_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id04564,wav2lip,4,calibration
fac_196e945c6bd2,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id04927_wavtolip.mp4,00135_id04927_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id04927,wav2lip,4,calibration
fac_98da76001ad7,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id05435_wavtolip.mp4,00135_id05435_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id05435,wav2lip,4,calibration
fac_475267369a48,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id05478_wavtolip.mp4,00135_id05478_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id05478,wav2lip,4,calibration
fac_d93fede5ed36,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id05845_XfMHm6CEwPw.mp4,00135_id05845_XfMHm6CEwPw.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id05845,unknown,4,calibration
fac_366547b2615e,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id06232_wavtolip.mp4,00135_id06232_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id06232,wav2lip,4,calibration
fac_d442247a661b,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id06268_wavtolip.mp4,00135_id06268_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id06268,wav2lip,4,calibration
fac_486398a0ccc1,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id06343_wavtolip.mp4,00135_id06343_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id06343,wav2lip,4,calibration
fac_54df612bb025,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id06445_NWtdqOxEbDY.mp4,00135_id06445_NWtdqOxEbDY.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id06445,unknown,4,calibration
fac_ef35d0b13a3d,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id06445_wavtolip.mp4,00135_id06445_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id06445,wav2lip,4,calibration
fac_50e6bce51c6e,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00043/00135_id07078_wavtolip.mp4,00135_id07078_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00043,Asian (South),women,135,id07078,wav2lip,4,calibration
fac_4c62878b42c2,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00080/00028_0.mp4,00028_0.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00080,Asian (South),women,28,,unknown,4,calibration
fac_e8d0389c57ef,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00080/00281_id00417_wavtolip.mp4,00281_id00417_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00080,Asian (South),women,281,id00417,wav2lip,4,calibration
fac_641e82634fa6,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00080/00281_id00488_wavtolip.mp4,00281_id00488_wavtolip.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00080,Asian (South),women,281,id00488,wav2lip,4,calibration
fac_a2f0ddf0c0eb,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00080/00281_id01026_rM4ZERt7oM0.mp4,00281_id01026_rM4ZERt7oM0.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00080,Asian (South),women,281,id01026,unknown,4,calibration
fac_bf9ddb2646c9,data/raw/fakeavceleb/FakeAVCeleb_v1.2/FakeAVCeleb_v1.2/FakeVideo-RealAudio/Asian (South)/women/id00080/00281_id02310_zA-8Pw0SvZg.mp4,00281_id02310_zA-8Pw0SvZg.mp4,FakeAVCeleb,FakeVideo-RealAudio,VISUAL_MANIPULATION,1,0,1,id00080,Asian (South),women,281,id02310,unknown,4,calibration
