sample_id,file_path,dataset,original_id,identity,manipulation_type,generator_tool,language,modality,provenance,semantic_class,visual_label,audio_label,final_label,split,held_out
avdf_fvra_22341c08a0,data/raw/modern_challenge/av_deepfake1m/val/id08999/gzXFFI0IH88/00353/fake_video_real_audio.mp4,AV-Deepfake1M,id08999/gzXFFI0IH88/00353/fake_video_real_audio.mp4,id08999,visual_modified,None,english,audio_video,huggingface/ControlNet/AV-Deepfake1M,VISUAL_MANIPULATION,1,0,1,external_val,false
avdf_fvra_25adb8c8b4,data/raw/modern_challenge/av_deepfake1m/val/id08981/QkNFO0w4zVw/00224/fake_video_real_audio.mp4,AV-Deepfake1M,id08981/QkNFO0w4zVw/00224/fake_video_real_audio.mp4,id08981,visual_modified,None,english,audio_video,huggingface/ControlNet/AV-Deepfake1M,VISUAL_MANIPULATION,1,0,1,external_val,false
avdf_rvra_20834d0cf1,data/raw/modern_challenge/av_deepfake1m/val/id08875/ZZ8bJN4wH1o/00067/real.mp4,AV-Deepfake1M,id08875/ZZ8bJN4wH1o/00067/real.mp4,VoxCeleb2,real,None,english,audio_video,huggingface/ControlNet/AV-Deepfake1M,REAL,0,0,0,external_val,false
indic_hi_071bd62a22,data/raw/modern_challenge/indicvoices/hindi/indic_hi_0049.wav,IndicVoices,indic_hi_0049.wav,unknown,none,none,hindi,audio_only,huggingface/ai4bharat/IndicVoices,REAL,0,0,0,external_val,false
indic_hi_0ac8a31bc9,data/raw/modern_challenge/indicvoices/hindi/indic_hi_0039.wav,IndicVoices,indic_hi_0039.wav,unknown,none,none,hindi,audio_only,huggingface/ai4bharat/IndicVoices,REAL,0,0,0,external_val,false
indic_hi_0bffbde5c5,data/raw/modern_challenge/indicvoices/hindi/indic_hi_0012.wav,IndicVoices,indic_hi_0012.wav,unknown,none,none,hindi,audio_only,huggingface/ai4bharat/IndicVoices,REAL,0,0,0,external_val,false
indic_hi_15bec2d681,data/raw/modern_challenge/indicvoices/hindi/indic_hi_0029.wav,IndicVoices,indic_hi_0029.wav,unknown,none,none,hindi,audio_only,huggingface/ai4bharat/IndicVoices,REAL,0,0,0,external_val,false
indic_hi_161fde5392,data/raw/modern_challenge/indicvoices/hindi/indic_hi_0040.wav,IndicVoices,indic_hi_0040.wav,unknown,none,none,hindi,audio_only,huggingface/ai4bharat/IndicVoices,REAL,0,0,0,external_val,false
indic_hi_1a714cb454,data/raw/modern_challenge/indicvoices/hindi/indic_hi_0013.wav,IndicVoices,indic_hi_0013.wav,unknown,none,none,hindi,audio_only,huggingface/ai4bharat/IndicVoices,REAL,0,0,0,external_val,false
indic_hi_2cf777b4f7,data/raw/modern_challenge/indicvoices/hindi/indic_hi_0011.wav,IndicVoices,indic_hi_0011.wav,unknown,none,none,hindi,audio_only,huggingface/ai4bharat/IndicVoices,REAL,0,0,0,external_val,false
